name,type,annotation_Phylum,annotation_Genus,name editied,Prebiotic-responsive ,Trunk Fat % associated ,Lean Mass associated ,Hand Grip associated
s__GGB4632_SGB6410,Microbiome,Firmicutes,GGB4632,GGB4632 SGB6410 TF (-),, TF (-),,
s__GGB4632_SGB6411,Microbiome,Firmicutes,GGB4632,GGB4632 SGB6411 LM (+) HG (+),,, LM (+), HG (+)
s__GGB4644_SGB6428,Microbiome,Firmicutes,GGB4644,GGB4644 SGB6428,,,,
s__GGB4681_SGB6471,Microbiome,Firmicutes,GGB4681,GGB4681 SGB6471 LM (+) HG (+),,, LM (+), HG (+)
s__GGB4683_SGB6473,Microbiome,Firmicutes,GGB4683,GGB4683 SGB6473,,,,
s__GGB4684_SGB6478,Microbiome,Firmicutes,GGB4684,GGB4684 SGB6478,,,,
s__GGB4689_SGB6487,Microbiome,Firmicutes,GGB4689,GGB4689 SGB6487,,,,
s__GGB47150_SGB65079,Microbiome,Firmicutes,GGB47150,GGB47150 SGB65079,,,,
s__GGB4749_SGB6578,Microbiome,Tenericutes,GGB4749,GGB4749 SGB6578,,,,
s__GGB4769_SGB6602,Microbiome,Firmicutes,GGB4769,GGB4769 SGB6602,,,,
s__GGB4802_SGB6641,Microbiome,Firmicutes,GGB4802,GGB4802 SGB6641 LM (-) HG (-),,, LM (-), HG (-)
s__GGB48468_SGB66515,Microbiome,Proteobacteria,GGB48468,GGB48468 SGB66515 TF (+) LM (+),, TF (+), LM (+),
s__GGB51269_SGB5062,Microbiome,Firmicutes,GGB51269,GGB51269 SGB5062,,,,
s__GGB51959_SGB72479,Microbiome,Actinobacteria,GGB51959,GGB51959 SGB72479,,,,
s__GGB52283_SGB73075,Microbiome,Firmicutes,GGB52283,GGB52283 SGB73075,,,,
s__GGB55957_SGB77276,Microbiome,Firmicutes,GGB55957,GGB55957 SGB77276 TF (+),, TF (+),,
s__GGB58067_SGB79698,Microbiome,Firmicutes,GGB58067,GGB58067 SGB79698,,,,
s__GGB5975_SGB8592,Microbiome,Candidatus_Melainabacteria,GGB5975,GGB5975 SGB8592,,,,
s__GGB5979_SGB8597,Microbiome,Candidatus_Melainabacteria,GGB5979,GGB5979 SGB8597 TF (-),, TF (-),,
s__GGB6007_SGB8633,Microbiome,Candidatus_Melainabacteria,GGB6007,GGB6007 SGB8633 TF (-),, TF (-),,
s__GGB6016_SGB8648,Microbiome,Candidatus_Melainabacteria,GGB6016,GGB6016 SGB8648,,,,
s__GGB6572_SGB9284,Microbiome,Proteobacteria,GGB6572,GGB6572 SGB9284 TF (+) LM (+),, TF (+), LM (+),
s__GGB6601_SGB9333,Microbiome,Proteobacteria,GGB6601,GGB6601 SGB9333 TF (-) LM (-),, TF (-), LM (-),
s__GGB6606_SGB9340,Microbiome,Proteobacteria,GGB6606,GGB6606 SGB9340,,,,
s__GGB6609_SGB9343,Microbiome,Proteobacteria,GGB6609,GGB6609 SGB9343 TF (-),, TF (-),,
s__GGB6613_SGB9347,Microbiome,Proteobacteria,GGB6613,GGB6613 SGB9347 LM (+) HG (+),,, LM (+), HG (+)
s__GGB6649_SGB9391,Microbiome,Proteobacteria,GGB6649,GGB6649 SGB9391 LM (-),,, LM (-),
s__GGB74511_SGB47635,Microbiome,Firmicutes,GGB74511,GGB74511 SGB47635 TF (+) LM (+),, TF (+), LM (+),
s__GGB74703_SGB54323,Microbiome,Firmicutes,GGB74703,GGB74703 SGB54323,,,,
